company1,company2,similarity,block_key,company1_processed,company2_processed,idx1,idx2,component_id,component_size
Coastal Georgia RV Resort,Coastal Georgia RV Resort,1.0000000000000002,geo_31.14_-81.58,coastal georgia rv resort,coastal georgia rv resort,8476,24270,1267,2
Blue River Cabinetry,Blue River Cabinetry,1.0000000000000002,geo_38.45_-86.19,blue river cabinetry,blue river cabinetry,9100,14110,380,4
Dentistry At Habersham,Dentistry At Habersham,1.0000000000000002,geo_32.43_-80.67,dentistry at habersham,dentistry at habersham,9913,26241,1334,2
NEW SOUTH REALTORS LLC.,NEW SOUTH REALTORS LLC.,1.0000000000000002,geo_34.71_-86.75,new south realtors llc,new south realtors llc,23450,10156,1346,2
Galaxy Tech Solutions,Galaxy Tech Solutions,1.0000000000000002,geo_17.44_78.39,galaxy tech solutions,galaxy tech solutions,10962,10399,1354,2
OrthoMed Manual Therapy,OrthoMed Manual Therapy,1.0000000000000002,geo_32.94_-97.08,orthomed manual therapy,orthomed manual therapy,27976,10977,1381,2
Jasmine Cottage Stanley,Jasmine Cottage Stanley,1.0000000000000002,geo_54.87_-1.7,jasmine cottage stanley,jasmine cottage stanley,15267,11597,1407,2
Helvetia Compagnia Svizzera Di Assicurazioni,Helvetia Compagnia Svizzera Di Assicurazioni,1.0000000000000002,geo_45.69_9.67,helvetia compagnia svizzera di assicurazioni,helvetia compagnia svizzera di assicurazioni,22866,12069,1425,2
Crown Hotel Port Moresby,Crown Hotel Port Moresby,1.0000000000000002,geo_-9.47_147.16,crown hotel port moresby,crown hotel port moresby,12634,14756,1449,2
Dongguan Geally Refrigeration Technology Co. Ltd.,Geally Refrigeration,1.0000000000000002,geo_22.92_113.83,dongguan geally refrigeration technology co ltd,geally refrigeration,13649,13164,1471,5
Beeutiful by Design,Beeutiful by Design,1.0000000000000002,geo_38.24_-85.44,beeutiful by design,beeutiful by design,15001,27049,1534,2
BARTSCH TOOL & SCREW CO.,BARTSCH TOOL & SCREW CO.,1.0000000000000002,geo_42.01_-87.94,bartsch tool screw co,bartsch tool screw co,19896,30990,1072,4
Design Trader by Vantage,Design Trader by Vantage,1.0000000000000002,geo_-26.65_153.09,design trader by vantage,design trader by vantage,25856,28712,1807,2
Savonnerie de Bormes,Savonnerie de Bormes,1.0000000000000002,email_domain_savonnerie-bormes_com,savonnerie de bormes,savonnerie de bormes,2554,4214,1913,2
Van Cleef Hair Studio,Van Cleef Hair Studio,1.0000000000000002,email_domain_vancleefhair_com,van cleef hair studio,van cleef hair studio,2848,28557,1918,2
Infinity Business Solutions,Infinity Business Solutions,1.0000000000000002,email_domain_ibsforyou_com,infinity business solutions,infinity business solutions,3480,17346,1932,2
House Bliss Cleaning,House Bliss Cleaning,1.0000000000000002,email_domain_houseblisscleaning_com,house bliss cleaning,house bliss cleaning,11745,5213,1970,2
H. Gautzsch Rottenbach,H. Gautzsch Rottenbach,1.0000000000000002,email_domain_gautzsch_de,h gautzsch rottenbach,h gautzsch rottenbach,7544,6285,1993,2
Dieter Kraus Automaten,Dieter Kraus Automaten,1.0000000000000002,email_domain_kraus-automaten_de,dieter kraus automaten,dieter kraus automaten,11361,14415,2064,2
JOKKAR MARKETING,Jokkar Protección de Datos,1.0000000000000002,email_domain_jokkar_es,jokkar marketing,jokkar proteccion de datos,15705,13483,2087,3
Tweed Co. SA.,Tweed Co. SA.,1.0000000000000002,email_domain_tweed-co_com,tweed co sa,tweed co sa,14939,27284,2112,2
Corporate Images Inc.,Corporate Images Inc.,1.0000000000000002,email_domain_corpimagesapparel_com,corporate images inc,corporate images inc,15188,22669,2120,2
Sea Shell Motel,Sea Shell Motel,1.0000000000000002,email_domain_seashellmotel_com,sea shell motel,sea shell motel,17812,30782,2147,2
CHAMPLIN - PACKRITE INC.,CHAMPLIN - PACKRITE INC.,1.0000000000000002,name_first_word_champlin,champlin packrite inc,champlin packrite inc,9121,11813,2269,2
Consorzio Italia del Vino,Consorzio Italia del Vino,1.0000000000000002,name_first_word_consorzio,consorzio italia del vino,consorzio italia del vino,16174,27775,1575,5
Galesburg Community Foundation,GALESBURG COMMUNITY FOUNDATION,1.0000000000000002,name_first_word_galesburg,galesburg community foundation,galesburg community foundation,3118,18498,2327,3
GCL Group Holdings Co. Ltd.,GCL Group Holdings Co. Ltd.,1.0000000000000002,location_china_suzhou_industrial_park,gcl group holdings co ltd,gcl group holdings co ltd,2450,31166,2625,2
ABA OF TAMPA BAY INC.,Aba Of Tampa Bay Inc.,1.0000000000000002,location_united_states_brandon,aba of tampa bay inc,aba of tampa bay inc,30931,15222,527,4
Quick Disposables Ltd.,Quick Disposables Ltd.,1.0000000000000002,location_united_kingdom_keston,quick disposables ltd,quick disposables ltd,12124,31382,2677,2
J HOFFMANN SA.,J HOFFMANN SA.,1.0000000000000002,location_spain_castell_dempries,j hoffmann sa,j hoffmann sa,23983,10183,2707,2
General Marking France,General Marking France,1.0000000000000002,geo_45.74_4.82,general marking france,general marking france,32813,157,2780,5
Carve Coffee Roasters,Carve Coffee Roasters,1.0000000000000002,geo_50.61_-1.96,carve coffee roasters,carve coffee roasters,25970,1030,2840,2
ZOO CITY DRUG II INC.,ZOO CITY DRUG II INC.,1.0000000000000002,geo_35.71_-79.81,zoo city drug ii inc,zoo city drug ii inc,33277,25149,378,4
Horizon West Dentistry,Horizon West Dentistry,1.0000000000000002,geo_28.49_-81.6,horizon west dentistry,horizon west dentistry,4554,13378,2886,2
GENERAL CLEANING S.R.L.,GENERAL CLEANING S.R.L.,1.0000000000000002,geo_45.64_9.0,general cleaning srl,general cleaning srl,7320,18906,2923,2
Navitas Life Sciences,Navitas Life Sciences,1.0000000000000002,geo_40.36_-74.63,navitas life sciences,navitas life sciences,7987,14124,2942,2
Atascadero Gospel Chapel,Atascadero Gospel Chapel,1.0000000000000002,geo_35.47_-120.67,atascadero gospel chapel,atascadero gospel chapel,18354,3666,2990,3
King David Architect,KING DAVID ARCHITECTURE PC.,1.0000000000000002,geo_40.75_-73.83,king david architect,king david architecture pc,3740,29639,2994,3
Sunflower Medical Ltd.,Sunflower Medical,1.0000000000000002,geo_53.75_-1.74,sunflower medical ltd,sunflower medical,4584,25128,2100,4
Project Associates Inc.,Project Associates Inc.,1.0000000000000002,geo_37.98_-87.49,project associates inc,project associates inc,6046,25743,3096,3
The Fields Nursery School,The Fields Nursery School,1.0000000000000002,geo_52.21_0.16,the fields nursery school,the fields nursery school,6174,19151,3098,2
Inspired By U,Inspired By U,1.0000000000000002,geo_40.75_-74.16,inspired by u,inspired by u,10889,25322,3278,2
Absolute Lawn Pros Inc.,Absolute Lawn Pros Inc.,1.0000000000000002,geo_34.18_-84.15,absolute lawn pros inc,absolute lawn pros inc,32647,10911,1235,5
Consett Maths Tuition,Consett Maths Tuition,1.0000000000000002,geo_54.85_-1.84,consett maths tuition,consett maths tuition,18526,16199,3284,2
Express Teleservice Corp.,Express Teleservice Corp.,1.0000000000000002,geo_42.31_-71.23,express teleservice corp,express teleservice corp,14736,12081,3317,2
Clinique Dentaire ADF,Clinique dentaire ADF,1.0000000000000002,geo_45.39_-73.96,clinique dentaire adf,clinique dentaire adf,17256,32817,2574,3
Clinique dentaire ADF,Clinique Dentaire Adf,1.0000000000000002,geo_45.39_-73.96,clinique dentaire adf,clinique dentaire adf,32817,12807,2574,3
Die ATI Kuste GmbH,Die ATI Kuste GmbH,1.0000000000000002,geo_54.1_12.1,die ati kuste,die ati kuste,14713,32202,3373,2
Twin City Mission,TWIN CITY MISSION,1.0000000000000002,geo_30.65_-96.36,twin city mission,twin city mission,24722,14971,3382,5
ABC East Bowling Lanes,ABC East Bowling Lanes,1.0000000000000002,geo_40.24_-76.8,abc east bowling lanes,abc east bowling lanes,15452,32247,3389,3
Back Home Restaurant,Back Home Restaurant,1.0000000000000002,geo_37.7_-85.86,back home restaurant,back home restaurant,26704,27632,3394,2
Pro Sports Inc.,Pro Sports Inc.,1.0000000000000002,geo_40.62_-103.21,pro sports inc,pro sports inc,31530,29077,3395,2
Ceramic Pro Markham,Ceramic Pro Markham,1.0000000000000002,geo_43.86_-79.34,ceramic pro markham,ceramic pro markham,19489,29215,3440,2
Medilink Chirurg Jevíčko,Medilink Chirurg Jevíčko,1.0000000000000002,email_domain_jevickochirurgie_cz,medilink chirurg jevicko,medilink chirurg jevicko,8248,2357,359,5
Ullevi Restaurang & Konferens,Ullevi Restaurang & Konferens,1.0000000000000002,email_domain_ullevikonferens_se,ullevi restaurang konferens,ullevi restaurang konferens,32506,32150,3554,4
BARTSCH TOOL & SCREW CO.,Bartsch Tool & Screw Co.,1.0000000000000002,name_first_word_bartsch,bartsch tool screw co,bartsch tool screw co,19896,32280,1072,4
Iag Business Technology,IAG Business Technology,1.0000000000000002,name_first_word_iag,iag business technology,iag business technology,5560,25932,3693,4
Iag Business Technology,IAG | Business Technology,1.0000000000000002,name_first_word_iag,iag business technology,iag business technology,5560,7606,3693,4
Pirtle Law Firm LLC.,Pirtle Law Firm LLC.,1.0000000000000002,name_first_word_pirtle,pirtle law firm llc,pirtle law firm llc,5200,13243,385,4
Riverbend Inn & Vineyard,Riverbend Inn & Vineyard,1.0000000000000002,name_first_word_riverbend,riverbend inn vineyard,riverbend inn vineyard,27180,9228,3801,4
Schep's Bakeries Ltd.,Schep'S Bakeries Ltd.,1.0000000000000002,name_first_word_scheps,scheps bakeries ltd,scheps bakeries ltd,27669,13757,1220,4
Terra Firma Estates Inc.,Terra Firma Estates Inc.,1.0000000000000002,location_united_states_new_brighton,terra firma estates inc,terra firma estates inc,15928,21847,4083,4
Parbat Crop Sciences,PARBAT CROP SCIENCES,1.0000000000000002,location_pakistan_multan,parbat crop sciences,parbat crop sciences,28368,542,2013,6
Mobus Fabrics Ltd.,Mobus,1.0000000000000002,location_united_kingdom_brighouse,mobus fabrics ltd,mobus,11330,30244,2956,4
Family Fitness Sparta,Family Fitness Sparta,1.0000000000000002,location_united_states_sparta,family fitness sparta,family fitness sparta,30124,5748,4156,4
Ophirus Development B.v.,Ophirus Development B.V.,1.0000000000000002,geo_52.51_4.96,ophirus development bv,ophirus development bv,28875,596,2532,5
Ophirus Development B.v.,Ophirus,1.0000000000000002,geo_52.51_4.96,ophirus development bv,ophirus,28875,29733,2532,5
Ophirus Development B.V.,Ophirus Development B.V.,1.0000000000000002,geo_52.51_4.96,ophirus development bv,ophirus development bv,596,10215,2532,5
De Graaf Assurantiën en Financieel Adviseurs,De Graaf Assurantiën en Financieel Adviseurs,1.0000000000000002,geo_51.46_3.57,de graaf assurantien en financieel adviseurs,de graaf assurantien en financieel adviseurs,668,33141,2503,4
Orange County Fence Company,Ocfences,1.0000000000000002,geo_33.42_-117.6,orange county fence,ocfences,24455,711,394,3
Sunbeam Generators Pvt Ltd.,Sunbeam Generators Pvt Ltd.,1.0000000000000002,geo_13.05_80.23,sunbeam generators ltd,sunbeam generators ltd,17529,2750,4259,2
Kinni Valley Chiropractic,Kinni Valley Chiropractic,1.0000000000000002,geo_44.86_-92.62,kinni valley chiropractic,kinni valley chiropractic,12084,28654,1162,5
TIEMENS LAND SURVEYING,Tiemens Land Surveying.,1.0000000000000002,geo_41.16_-87.26,tiemens land surveying,tiemens land surveying,1960,27918,932,6
Tiemens Land Surveying,Tiemens Land Surveying.,1.0000000000000002,geo_41.16_-87.26,tiemens land surveying,tiemens land surveying,20587,27918,932,6
Graphics Interactive LLC.,Graphics Interactive LLC.,1.0000000000000002,geo_41.22_-73.12,graphics interactive llc,graphics interactive llc,10305,4621,4348,2
Electrique SBD Inc.,Electrique SBD Inc.,1.0000000000000002,geo_45.43_-75.71,electrique sbd inc,electrique sbd inc,6833,14492,4358,2
IBEW Local 520,Ibew Local 520,1.0000000000000002,geo_30.22_-97.73,ibew local 520,ibew local 520,3587,14390,4374,3
Arts Literature Laboratory,Arts Literature Laboratory,1.0000000000000002,geo_43.08_-89.37,arts literature laboratory,arts literature laboratory,32423,29563,1949,3
Dr. Linda Y Makuta DDS PC,Dr. Linda Makuta DDS,1.0000000000000002,geo_34.17_-118.5,dr linda y makuta dds pc,dr linda makuta dds,7308,16063,4021,3
Precision Tool & Die Inc.,Precision Tool & Die Inc.,1.0000000000000002,geo_37.51_-77.46,precision tool die inc,precision tool die inc,20226,8131,4474,6
SiliconCore,SiliconCore Technology Inc.,1.0000000000000002,geo_37.44_-121.89,siliconcore,siliconcore technology inc,8579,9173,4006,4
SiliconCore Technology Inc.,SILICONCORE TECHNOLOGY INC.,1.0000000000000002,geo_37.44_-121.89,siliconcore technology inc,siliconcore technology inc,9173,8238,4006,4
Bay Travel Coaches Limited,Bay Travel Coaches Limited,1.0000000000000002,geo_56.14_-3.31,bay travel coaches,bay travel coaches,16483,18364,2144,6
NW Natural Lighting,NW Natural Lighting,1.0000000000000002,email_domain_nwnaturallighting_com,nw natural lighting,nw natural lighting,17800,18636,4578,2
Dongguan Geally Refrigeration Technology Co. Ltd.,Dongguan Geally Refrigeration Technology Co. Ltd.,1.0000000000000002,email_domain_163_com,dongguan geally refrigeration technology co ltd,dongguan geally refrigeration technology co ltd,16048,13649,1471,5
AccuTrac Payroll Services,AccuTrac Payroll Services,1.0000000000000002,email_domain_accutracservices_com,accutrac payroll services,accutrac payroll services,17881,26649,4582,2
DACM Project Management,DACM Project Management,1.0000000000000002,name_first_word_dacm,dacm project management,dacm project management,4674,4628,368,5
EMERGENCY RESPONSE TRAINING INSTITUTE,EMERGENCY RESPONSE TRAINING INSTITUTE,1.0000000000000002,name_first_word_emergency,emergency response training institute,emergency response training institute,27004,268,110,5
EMERGENCY RESPONSE TRAINING INSTITUTE,Emergency Response Training Institute,1.0000000000000002,name_first_word_emergency,emergency response training institute,emergency response training institute,27004,27519,110,5
Escaliers de France,ESCALIERS DE FRANCE,1.0000000000000002,name_first_word_escaliers,escaliers de france,escaliers de france,17696,1824,3907,3
GENERALI COSTRUZIONI S.R.L.,GENERALI COSTRUZIONI S.R.L.,1.0000000000000002,name_first_word_generali,generali costruzioni srl,generali costruzioni srl,4786,31460,523,4
Generali Costruzioni Srl.,Generali Costruzioni Srl.,1.0000000000000002,name_first_word_generali,generali costruzioni srl,generali costruzioni srl,31346,6015,523,4
Groupware Technologies LLC.,Groupware Technologies LLC.,1.0000000000000002,name_first_word_groupware,groupware technologies llc,groupware technologies llc,2356,22437,4742,2
Magnus Wellness Acupuncture,Magnus Wellness Acupuncture,1.0000000000000002,name_first_word_magnus,magnus wellness acupuncture,magnus wellness acupuncture,31395,27654,4825,2
Motorama Full Service,Motorama Full Service,1.0000000000000002,name_first_word_motorama,motorama full service,motorama full service,19632,19528,4855,2
Paula's Design Team,Paula's Design Team,1.0000000000000002,name_first_word_paulas,paulas design team,paulas design team,11008,22542,388,4
Paulas Design Team,Paulas Design Team,1.0000000000000002,name_first_word_paulas,paulas design team,paulas design team,22336,13458,388,4
Productive Playgroup Inc.,Productive Playgroup Inc.,1.0000000000000002,name_first_word_productive,productive playgroup inc,productive playgroup inc,17547,29788,4902,2
Raha Education LTD.,Raha Education LTD.,1.0000000000000002,name_first_word_raha,raha education ltd,raha education ltd,25657,12476,4051,4
Simcoe County Cycle Inc.,Simcoe County Cycle Inc.,1.0000000000000002,name_first_word_simcoe,simcoe county cycle inc,simcoe county cycle inc,5115,18862,2541,4
User Friendly Computing,User Friendly Computing,1.0000000000000002,name_first_word_user,user friendly computing,user friendly computing,6403,16468,4975,4
User Friendly Computing,USER FRIENDLY COMPUTING,1.0000000000000002,name_first_word_user,user friendly computing,user friendly computing,6403,11062,4975,4
VASQ Public Relations,VASQ Public Relations,1.0000000000000002,name_first_word_vasq,vasq public relations,vasq public relations,20955,6507,4977,4
VITAMIN K LTD.,VITAMIN K LTD.,1.0000000000000002,name_first_word_vitamin,vitamin k ltd,vitamin k ltd,1299,22933,1077,4
VITAMIN K LTD.,Vitamin k,1.0000000000000002,name_first_word_vitamin,vitamin k ltd,vitamin k,1299,4678,1077,4
Kirk's Wine Bar,Kirk's Wine Bar,1.0000000000000002,phone_396,kirks wine bar,kirks wine bar,13796,15795,1086,4
EDIL VDR S.R.L.,Edil VDR S.r.l.,1.0000000000000002,location_italy_villaricca,edil vdr srl,edil vdr srl,27513,29309,5344,2
Beaumont Parish Council,Beaumont Parish Council,1.0000000000000002,location_united_kingdom_carlisle,beaumont parish council,beaumont parish council,27723,6549,4393,4
Victory Mortgage Inc.,VICTORY MORTGAGE INC.,1.0000000000000002,location_united_states_lawndale,victory mortgage inc,victory mortgage inc,8550,28295,5354,3
VICTORY MORTGAGE INC.,VICTORY MORTGAGE INC.,1.0000000000000002,location_united_states_lawndale,victory mortgage inc,victory mortgage inc,28295,9386,5354,3
PROJECT ASSOCIATES INC.,Project Associates Inc.,1.0000000000000002,location_united_states_evansville,project associates inc,project associates inc,19948,25743,3096,3
Dl design arredamenti,DL Design Arredamenti,1.0000000000000002,location_italy_pescara,dl design arredamenti,dl design arredamenti,19697,26138,1309,4
Dl Design Arredamenti,DL Design Arredamenti,1.0000000000000002,location_italy_pescara,dl design arredamenti,dl design arredamenti,19830,26138,1309,4
DL Design Arredamenti,DL DESIGN ARREDAMENTI,1.0000000000000002,location_italy_pescara,dl design arredamenti,dl design arredamenti,26138,9243,1309,4
Cap Emploi 79,CAP Emploi 79,1.0000000000000002,geo_46.34_-0.42,cap emploi 79,cap emploi 79,1501,7316,3896,5
Cap emploi 79,CAP Emploi 79,1.0000000000000002,geo_46.34_-0.42,cap emploi 79,cap emploi 79,14474,7316,3896,5
Patricia Valian Reser Center for the Creative Arts PRAx,Patricia Valian Reser Center for the Creative Arts - PRAx,1.0000000000000002,geo_44.56_-123.27,patricia valian reser center for the creative arts prax,patricia valian reser center for the creative arts prax,32384,16016,414,4
Building Materials Ltd.,Building Materials Ltd.,1.0000000000000002,geo_50.83_-0.17,building materials ltd,building materials ltd,28994,27544,2534,6
General Cleaning Srl.,General Cleaning Srl.,1.0000000000000002,geo_45.63_8.97,general cleaning srl,general cleaning srl,7617,7097,5432,5
General Cleaning Srl.,GENERAL CLEANING S.R.L.,1.0000000000000002,geo_45.63_8.97,general cleaning srl,general cleaning srl,7617,19485,5432,5
Nina Berenato Jewelry,Nina Berenato Jewelry,1.0000000000000002,geo_30.4_-97.72,nina berenato jewelry,nina berenato jewelry,8289,8049,5439,3
Raintree Veterinary Center,Raintree Veterinary Center,1.0000000000000002,geo_46.97_-123.85,raintree veterinary center,raintree veterinary center,30530,18730,5453,2
